,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
Emotions,0.2619237525518682,0.20579808194464227,0.7145910085114848,0.5438002703907885,0.6056246983453312,0.7186141557199638,0.558417636113787,0.6280380058200089,0.6382186773014291,0.5565031097184635,0.5661373815062748,0.18980409304300944
CHD_49,0.14534534534534532,0.3183683683683683,0.49017636035696716,0.4494651686046262,0.4566465067177617,0.640833607636607,0.5954301752734664,0.6160228624309603,0.6361861861861863,0.5931981981981982,0.5823063539730207,0.19236276944478353
Foodtruck,0.2309444946301315,0.15452884004148684,0.2737975941507058,0.13434526762096918,0.15824885892379897,0.6818959478420982,0.35948973255936767,0.46990724037551473,0.6379554351099067,0.4517465270852804,0.47934302016807284,0.374302872021993
Water-quality,0.016666666666666666,0.2907120395327943,0.5950344087098424,0.3884421112412696,0.456167619190539,0.6447269732886141,0.4405697431915013,0.523328346630649,0.626162120985234,0.4431874619964243,0.48519097509849746,0.43766819636027016
Birds,0.5059431524547802,0.043886848905208754,0.3828037451025067,0.13629264400317032,0.1883983598804422,0.8150745943378841,0.22716254233780314,0.3543812863493174,0.17971576227390187,0.11606373815676138,0.13406525573192238,0.599721082051595
Global,0.23216468232975843,0.20265883575850005,0.4912806233663014,0.33046909237216476,0.3730172086115746,0.7002290557650334,0.436213965895185,0.5183355483212899,0.5436476363713316,0.43213980703102556,0.44940859729555765,0.3587718025843302
,Accuracy (Subset),Hamming Loss,Precision (Macro),Recall (Macro),F1-Score (Macro),Precision (Micro),Recall (Micro),F1-Score (Micro),Precision (Samples),Recall (Samples),F1-Score (Samples),Tiempo_promedio_por_experimento
VirusGo,0.7625435540069687,0.06109820622015744,0.8511222720252647,0.7460914940036456,0.7785705947710929,0.8885448092830576,0.8009379190712533,0.8416485947352853,0.8488869531552459,0.826429216673119,0.8291302103497225,0.19174484411875406
Yahoo_Arts,0.20891261131889446,0.05518857485069321,0.4067822117612134,0.109707359434137,0.16332690196246594,0.7086795889874902,0.2251685238980145,0.3416516134873729,0.3253604219816881,0.27700292572514956,0.28716850493832047,61.82388447125753
Yahoo_Business,0.57793860676537,0.024517907431704466,0.4346981828565025,0.11926759567645785,0.16651726364230435,0.8766987444309551,0.6285859381993953,0.732139500755496,0.8665292648217313,0.7378651096548358,0.7701910737843374,78.9969539642334
Global,0.516464924030411,0.04693489616751837,0.5642008888809936,0.3250221497047468,0.3694715867919544,0.8246410475671677,0.551564127056221,0.6384799029927181,0.6802588799862218,0.613765750684368,0.6288299296907934,47.004194426536564
